Fuel type,body type,transmission,ownerNo,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City
Petrol,SUV,Automatic,1,MG,MG Hector,2022,20.41,Comprehensive,7500,19.24556842105263,5,White,Bangalore
Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,2017,10.33,Comprehensive,30301,17.0,5,Black,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,2.75,Comprehensive,66000,20.36,5,Golden,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,6.76,Comprehensive,56010,18.6,5,White,Bangalore
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,Comprehensive,47000,17.9,5,White,Bangalore
Diesel,SUV,Manual,2,Nissan,Nissan Terrano,2014,6.5,Third Party insurance,60000,19.01,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2014,4.44,Third Party insurance,83829,25.2,5,Red,Bangalore
Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2020,5.1,Third Party insurance,10000,22.0,5,Others,Bangalore
Diesel,SUV,Automatic,2,Renault,Renault Duster,2016,9.25,Comprehensive,35000,19.6,5,Grey,Bangalore
Petrol,Sedan,Automatic,2,Honda,Honda City,2019,10.24,Comprehensive,51116,18.0,5,White,Bangalore
Diesel,Sedan,Manual,3,Skoda,Skoda Rapid,2016,5.0,Third Party insurance,80000,21.14,5,Others,Bangalore
Petrol,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,2017,9.95,Third Party insurance,40000,17.21,5,Others,Bangalore
Petrol,SUV,Automatic,2,Honda,Honda CR-V,2012,9.35,Comprehensive,85565,11.1,5,White,Bangalore
Petrol,SUV,Manual,1,Ford,Ford Ecosport,2018,8.34,Comprehensive,36916,17.0,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2015,5.6,Third Party insurance,90000,20.14,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2012,4.54,Comprehensive,112795,22.38,5,Silver,Bangalore
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,Comprehensive,11000,19.24556842105263,5,Silver,Bangalore
Petrol,MUV,Manual,2,Toyota,Toyota Innova,2014,11.0,Third Party insurance,120000,11.4,7,Others,Bangalore
Petrol,Hatchback,Manual,2,Honda,Honda Brio,2016,4.62,Comprehensive,36685,19.4,5,Red,Bangalore
Diesel,SUV,Automatic,2,Hyundai,Hyundai Santa Fe,2012,9.0,Third Party insurance,120000,11.72,7,Others,Bangalore
Petrol,Sedan,Automatic,1,BMW,BMW 6 Series,2022,79.0,Comprehensive,4000,13.32,4,Blue,Bangalore
